question_external_id,asset_external_id,bucket,storage_path,source_path,packaged_path,asset_kind,caption,status
spreadsheet-applications.past_paper.topics_03_04.q018,spreadsheet-applications.past_paper.topics_03_04.q018.figure_1,question-imports,spreadsheet-applications/image26.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image26.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/spreadsheet-applications/image26.png,table_image,2021 Q3 Student Marks Spreadsheet,packaged
spreadsheet-applications.past_paper.topics_03_04.q028,spreadsheet-applications.past_paper.topics_03_04.q028.figure_1,question-imports,spreadsheet-applications/image29.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image29.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/spreadsheet-applications/image29.png,table_image,2022 Q3 School Tuck Shop Spreadsheet,packaged
spreadsheet-applications.past_paper.topics_03_04.q036,spreadsheet-applications.past_paper.topics_03_04.q036.figure_1,question-imports,spreadsheet-applications/image33.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image33.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/spreadsheet-applications/image33.png,table_image,2023 Q4 Garden Centre Wages Spreadsheet,packaged
spreadsheet-applications.past_paper.topics_03_04.q044,spreadsheet-applications.past_paper.topics_03_04.q044.figure_1,question-imports,spreadsheet-applications/image35.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image35.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/spreadsheet-applications/image35.png,table_image,2024 Q4 Community Project Budget Spreadsheet,packaged
spreadsheet-applications.past_paper.topics_03_04.q054,spreadsheet-applications.past_paper.topics_03_04.q054.figure_1,question-imports,spreadsheet-applications/image37.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image37.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/spreadsheet-applications/image37.png,table_image,2025 Q6 Bill's Satellite Dish Spreadsheet,packaged
computer-hardware.past_paper.topics_05_06.q001,computer-hardware.past_paper.topics_05_06.q001.figure_1,question-imports,computer-hardware/image39.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image39.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/computer-hardware/image39.png,table_image,2018 Q5 Laptop Spec Table,packaged
computer-hardware.past_paper.topics_05_06.q002,computer-hardware.past_paper.topics_05_06.q002.figure_1,question-imports,computer-hardware/image39.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image39.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/computer-hardware/image39.png,table_image,2018 Q5 Laptop Spec Table,packaged
computer-hardware.past_paper.topics_05_06.q003,computer-hardware.past_paper.topics_05_06.q003.figure_1,question-imports,computer-hardware/image39.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image39.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/computer-hardware/image39.png,table_image,2018 Q5 Laptop Spec Table,packaged
computer-hardware.past_paper.topics_05_06.q007,computer-hardware.past_paper.topics_05_06.q007.figure_1,question-imports,computer-hardware/image40.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image40.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/computer-hardware/image40.png,figure,2019 Q5 Computer Spec,packaged
computer-hardware.past_paper.topics_05_06.q010,computer-hardware.past_paper.topics_05_06.q010.figure_1,question-imports,computer-hardware/image41.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image41.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/computer-hardware/image41.png,diagram,2019 Q5(c) CPU Components Diagram,packaged
network-technologies.past_paper.topics_05_06.q010,network-technologies.past_paper.topics_05_06.q010.figure_1,question-imports,network-technologies/image42.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image42.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/network-technologies/image42.png,figure,2019 Q6(b) Bus Network Topology,packaged
network-technologies.past_paper.topics_05_06.q014,network-technologies.past_paper.topics_05_06.q014.figure_1,question-imports,network-technologies/image43.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image43.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/network-technologies/image43.png,diagram,2019 Q6(d) Star Network Labelling Diagram,packaged
network-technologies.past_paper.topics_05_06.q020,network-technologies.past_paper.topics_05_06.q020.figure_1,question-imports,network-technologies/image44.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image44.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/network-technologies/image44.png,figure,2022 Q7 Ring Network Topology,packaged
network-technologies.past_paper.topics_05_06.q040,network-technologies.past_paper.topics_05_06.q040.figure_1,question-imports,network-technologies/image45.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image45.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/network-technologies/image45.png,diagram,2024 Q6 Star Network Diagram,packaged
